,Feature
78,original_glrlm_RunEntropy
99,original_glszm_ZoneEntropy
53,original_glcm_SumAverage
48,original_glcm_JointAverage
25,original_firstorder_Range
58,original_gldm_DependenceNonUniformityNormalized
20,original_firstorder_Maximum
67,original_gldm_SmallDependenceEmphasis
100,original_glszm_ZonePercentage
15,original_firstorder_90Percentile
17,original_firstorder_Entropy
27,original_firstorder_RootMeanSquared
22,original_firstorder_Mean
23,original_firstorder_Median
14,original_firstorder_10Percentile
47,original_glcm_InverseVariance
64,original_gldm_LargeDependenceHighGrayLevelEmphasis
54,original_glcm_SumEntropy
21,original_firstorder_MeanAbsoluteDeviation
26,original_firstorder_RobustMeanAbsoluteDeviation
50,original_glcm_JointEntropy
18,original_firstorder_InterquartileRange
39,original_glcm_DifferenceEntropy
38,original_glcm_DifferenceAverage
69,original_gldm_SmallDependenceLowGrayLevelEmphasis
56,original_gldm_DependenceEntropy
106,original_ngtdm_Strength
75,original_glrlm_LongRunHighGrayLevelEmphasis
51,original_glcm_MCC
89,original_glszm_HighGrayLevelZoneEmphasis
57,original_gldm_DependenceNonUniformity
73,original_glrlm_HighGrayLevelRunEmphasis
62,original_gldm_HighGrayLevelEmphasis
84,original_glrlm_ShortRunHighGrayLevelEmphasis
88,original_glszm_GrayLevelVariance
32,original_glcm_Autocorrelation
97,original_glszm_SmallAreaHighGrayLevelEmphasis
2,original_shape_LeastAxisLength
94,original_glszm_SizeZoneNonUniformity
55,original_glcm_SumSquares
72,original_glrlm_GrayLevelVariance
61,original_gldm_GrayLevelVariance
31,original_firstorder_Variance
35,original_glcm_ClusterTendency
