,Feature,Score
8,original_shape_MeshVolume,85.8791080393842
13,original_shape_VoxelVolume,83.50686908469038
79,original_glrlm_RunLengthNonUniformity,50.93007377395521
91,original_glszm_LargeAreaHighGrayLevelEmphasis,45.618184566116
57,original_gldm_DependenceNonUniformity,34.41928988701473
70,original_glrlm_GrayLevelNonUniformity,32.266236343043474
10,original_shape_Sphericity,27.71442238109154
60,original_gldm_GrayLevelNonUniformity,23.252989218582464
2,original_shape_LeastAxisLength,16.77870352394131
104,original_ngtdm_Complexity,16.514159245312587
90,original_glszm_LargeAreaEmphasis,15.620751114293679
9,original_shape_MinorAxisLength,15.01251770872906
94,original_glszm_SizeZoneNonUniformity,14.642747019591985
101,original_glszm_ZoneVariance,14.556585943491013
55,original_glcm_SumSquares,12.352632219057467
35,original_glcm_ClusterTendency,12.32894683459652
31,original_firstorder_Variance,12.30098928252088
61,original_gldm_GrayLevelVariance,12.291122040958411
72,original_glrlm_GrayLevelVariance,12.241571676916438
11,original_shape_SurfaceArea,12.145989531907146
88,original_glszm_GrayLevelVariance,12.121958038500445
68,original_gldm_SmallDependenceHighGrayLevelEmphasis,11.439417530523006
76,original_glrlm_LongRunLowGrayLevelEmphasis,11.143647367379982
92,original_glszm_LargeAreaLowGrayLevelEmphasis,10.546051181221967
33,original_glcm_ClusterProminence,10.523291235355773
97,original_glszm_SmallAreaHighGrayLevelEmphasis,10.22196367583891
16,original_firstorder_Energy,9.988502470841077
29,original_firstorder_TotalEnergy,9.988502470841077
5,original_shape_Maximum2DDiameterRow,9.729614862653335
84,original_glrlm_ShortRunHighGrayLevelEmphasis,9.47706283662013
89,original_glszm_HighGrayLevelZoneEmphasis,9.430176317495981
32,original_glcm_Autocorrelation,9.414275367222551
73,original_glrlm_HighGrayLevelRunEmphasis,9.339652206798231
62,original_gldm_HighGrayLevelEmphasis,9.330309772163478
75,original_glrlm_LongRunHighGrayLevelEmphasis,8.694639011906935
86,original_glszm_GrayLevelNonUniformity,7.873431537730094
64,original_gldm_LargeDependenceHighGrayLevelEmphasis,7.432168224851459
40,original_glcm_DifferenceVariance,6.994237261745607
6,original_shape_Maximum2DDiameterSlice,6.972535842556159
36,original_glcm_Contrast,6.807974591328597
12,original_shape_SurfaceVolumeRatio,6.710499932453537
20,original_firstorder_Maximum,6.2521347488466095
25,original_firstorder_Range,6.149409946690267
63,original_gldm_LargeDependenceEmphasis,5.887852198061173
106,original_ngtdm_Strength,5.5659238065404075
74,original_glrlm_LongRunEmphasis,5.500813299156497
4,original_shape_Maximum2DDiameterColumn,5.147397989657124
82,original_glrlm_RunVariance,5.130330051312379
48,original_glcm_JointAverage,5.120590856915302
53,original_glcm_SumAverage,5.120590856915296
69,original_gldm_SmallDependenceLowGrayLevelEmphasis,4.961996408187158
27,original_firstorder_RootMeanSquared,4.917717430833573
15,original_firstorder_90Percentile,4.912619534039968
22,original_firstorder_Mean,4.894703146737902
23,original_firstorder_Median,4.876975025886115
14,original_firstorder_10Percentile,4.759446976782392
7,original_shape_Maximum3DDiameter,4.602455123828422
65,original_gldm_LargeDependenceLowGrayLevelEmphasis,4.0587056115667925
21,original_firstorder_MeanAbsoluteDeviation,3.806567328153422
78,original_glrlm_RunEntropy,3.6772422852845392
18,original_firstorder_InterquartileRange,3.5115849487758437
26,original_firstorder_RobustMeanAbsoluteDeviation,3.446328756893082
3,original_shape_MajorAxisLength,2.958337136914333
44,original_glcm_Idn,2.885541862394628
1,original_shape_Flatness,2.5288581995724178
85,original_glrlm_ShortRunLowGrayLevelEmphasis,2.4528598008858653
24,original_firstorder_Minimum,2.211450611125668
102,original_ngtdm_Busyness,2.1799973198805387
0,original_shape_Elongation,2.1497465703526615
45,original_glcm_Imc1,2.054111483487168
100,original_glszm_ZonePercentage,1.9202551987698118
99,original_glszm_ZoneEntropy,1.6655533620658654
80,original_glrlm_RunLengthNonUniformityNormalized,1.5946288268791022
38,original_glcm_DifferenceAverage,1.547296523786293
81,original_glrlm_RunPercentage,1.3548405378440698
37,original_glcm_Correlation,1.2941600901839845
56,original_gldm_DependenceEntropy,1.0485539519400913
67,original_gldm_SmallDependenceEmphasis,1.0433496658833545
83,original_glrlm_ShortRunEmphasis,1.0102283997668087
43,original_glcm_Idmn,0.994462292624636
51,original_glcm_MCC,0.9196595751179274
54,original_glcm_SumEntropy,0.8540393385400293
46,original_glcm_Imc2,0.8079044398151174
17,original_firstorder_Entropy,0.7431158935452531
87,original_glszm_GrayLevelNonUniformityNormalized,0.7057934113405622
47,original_glcm_InverseVariance,0.6451354891809172
58,original_gldm_DependenceNonUniformityNormalized,0.6254001790775862
50,original_glcm_JointEntropy,0.4913880821333291
59,original_gldm_DependenceVariance,0.3886611358782713
98,original_glszm_SmallAreaLowGrayLevelEmphasis,0.35817289949015974
28,original_firstorder_Skewness,0.33392122064982604
49,original_glcm_JointEnergy,0.24046781699347128
96,original_glszm_SmallAreaEmphasis,0.16521163564000915
71,original_glrlm_GrayLevelNonUniformityNormalized,0.14060009641121535
95,original_glszm_SizeZoneNonUniformityNormalized,0.13054570519271935
19,original_firstorder_Kurtosis,0.10235334040852452
30,original_firstorder_Uniformity,0.08640027545722319
39,original_glcm_DifferenceEntropy,0.08280647146546342
103,original_ngtdm_Coarseness,0.05152952455826835
93,original_glszm_LowGrayLevelZoneEmphasis,0.044202812985414994
42,original_glcm_Idm,0.028178479200351794
41,original_glcm_Id,0.015291969096716679
66,original_gldm_LowGrayLevelEmphasis,0.013307551495231076
105,original_ngtdm_Contrast,0.010289849722231193
34,original_glcm_ClusterShade,0.0038371773567442815
77,original_glrlm_LowGrayLevelRunEmphasis,0.0034603132271396712
52,original_glcm_MaximumProbability,0.0033171288782760083
