ID,2D-Dice,2D-Hausdorff,3D-Dice,3D-Hausdorff
BraTS20_Training_001,0.975561241002308,1.0,0.9582597742172515,1.4142135623730951
BraTS20_Training_002,0.9667109129144357,1.0,0.9423246756187587,2.0
BraTS20_Training_003,0.9512404628366429,1.0,0.9277312072115138,1.4142135623730951
BraTS20_Training_004,0.981670612106865,1.0,0.9689449436620402,1.0
BraTS20_Training_005,0.9655426401196916,1.0,0.9366680484547004,1.0
BraTS20_Training_006,0.9698678541167138,1.0,0.9555267245317497,1.4142135623730951
BraTS20_Training_007,0.9606610156701965,1.0,0.9447448138348863,1.4142135623730951
BraTS20_Training_008,0.9327162055571265,1.0,0.88847308646273,4.358898943540674
BraTS20_Training_009,0.9662063385400239,1.0,0.946352721104436,2.0
BraTS20_Training_010,0.9346119526052432,1.0,0.9040370615486433,2.0
BraTS20_Training_011,0.9714979654350525,1.0,0.9536190632583429,1.4142135623730951
BraTS20_Training_012,0.9430945585846959,1.4142135623730951,0.9126259595034274,3.0
BraTS20_Training_013,0.9584187630856684,1.0,0.9333319021499952,2.0
BraTS20_Training_014,0.9668667973304885,1.0,0.943571749662854,1.4142135623730951
BraTS20_Training_015,0.9736153119657609,1.0,0.9618334039677907,1.0
BraTS20_Training_016,0.964104817542304,1.0,0.9494293438921994,1.4142135623730951
BraTS20_Training_017,0.9676988457866016,1.0,0.9465035675857931,1.4142135623730951
BraTS20_Training_018,0.9413809031520137,1.0,0.9180563573583713,1.4142135623730951
BraTS20_Training_019,0.9565137424850275,1.4142135623730951,0.9294612540994055,2.8284271247461903
BraTS20_Training_020,0.9767211038794358,1.0,0.9551574770462282,2.0
BraTS20_Training_021,0.9313300035481318,1.4142135623730951,0.8843620395218346,3.0
BraTS20_Training_022,0.9776629266425185,1.0,0.9603141671606402,1.0
BraTS20_Training_023,0.9638969321555547,1.0,0.9446723312823518,1.0
BraTS20_Training_024,0.9665402259213978,1.0,0.9424171741365185,1.4142135623730951
BraTS20_Training_025,0.9694152189870321,1.0,0.9490133362246558,1.4142135623730951
BraTS20_Training_026,0.9711051566988518,1.0,0.956688485906834,1.7320508075688772
BraTS20_Training_027,0.9556423021518298,1.0,0.9382006966873784,2.0
BraTS20_Training_028,0.946936983093025,2.0,0.923270989496155,3.0
BraTS20_Training_029,0.9694435303277176,1.0,0.95235410659923,1.0
BraTS20_Training_030,0.9333500904886386,1.4142135623730951,0.906019176491783,2.23606797749979
BraTS20_Training_031,0.9571616053366038,1.0,0.9352474143234122,2.23606797749979
BraTS20_Training_032,0.9553618794998106,1.0,0.9357630128025418,1.7320508075688772
BraTS20_Training_033,0.9694449761155252,1.0,0.9596079924349418,1.4142135623730951
BraTS20_Training_034,0.9760630007382899,1.0,0.9577086031655434,1.4142135623730951
BraTS20_Training_035,0.9589977948931002,1.0,0.9298876060860922,2.23606797749979
BraTS20_Training_036,0.9554161722325818,1.0,0.930018101711124,1.4142135623730951
BraTS20_Training_037,0.9726740920507413,1.0,0.9603019207538376,1.7320508075688772
BraTS20_Training_038,0.9649419008839011,1.0,0.947050808828994,1.4142135623730951
BraTS20_Training_039,0.9762555320377141,1.0,0.960633872820097,1.0
BraTS20_Training_040,0.9680613883489204,1.0,0.950682340224294,1.4142135623730951
BraTS20_Training_041,0.9709570502670221,1.0,0.9581762911943086,1.0
BraTS20_Training_042,0.9762185599346324,1.0,0.9639943406455367,1.0
BraTS20_Training_043,0.9283410044947157,1.4142135623730951,0.8945237872573513,2.23606797749979
BraTS20_Training_044,0.9150973678579071,2.0,0.8729815571035845,4.47213595499958
BraTS20_Training_045,0.9690962340070558,1.0,0.9570177162300524,1.4142135623730951
BraTS20_Training_046,0.922766153074587,1.4142135623730951,0.8816863856023996,2.8284271247461903
BraTS20_Training_047,0.9628504549001189,1.4142135623730951,0.9441355029022742,2.23606797749979
BraTS20_Training_048,0.9050211526458145,2.0,0.8643985250121756,3.605551275463989
BraTS20_Training_049,0.9591540287051594,1.4142135623730951,0.9286232613163078,2.0
BraTS20_Training_050,0.9779994525713939,1.0,0.963186187667038,1.0
BraTS20_Training_051,0.9680046538685282,1.0,0.9523758667148632,1.0
BraTS20_Training_052,0.9688943840697599,1.0,0.946666088990945,1.0
BraTS20_Training_053,0.9710237775864715,1.0,0.9615537695366719,1.0
BraTS20_Training_054,0.9642306756427934,1.0,0.9484376669662893,2.0
BraTS20_Training_055,0.9759555035227787,1.0,0.9614910108822353,2.23606797749979
BraTS20_Training_056,0.9630724050817624,1.0,0.941457806392274,1.0
BraTS20_Training_057,0.9733738521793508,1.0,0.9452965659044555,1.4142135623730951
BraTS20_Training_058,0.9382623711737079,1.4142135623730951,0.9069790839882397,2.8284271247461903
BraTS20_Training_059,0.9384872772546884,1.0,0.8974269005847954,2.0
BraTS20_Training_060,0.9742579473934382,1.0,0.9576625404772294,3.7416573867739413
BraTS20_Training_061,0.9663843239460411,1.0,0.9475707369291779,2.0
BraTS20_Training_062,0.9715422941353721,1.0,0.9630209407070153,1.0
BraTS20_Training_063,0.9445833488823375,1.0,0.9276605265120441,2.23606797749979
BraTS20_Training_064,0.9722047277154974,1.0,0.9471342538890566,2.449489742783178
BraTS20_Training_065,0.9610098625642667,1.0,0.9445825647606063,1.4142135623730951
BraTS20_Training_066,0.9720666615986282,1.0,0.9571784981394913,1.0
BraTS20_Training_067,0.9724837631144075,1.0,0.960528349718667,1.0
BraTS20_Training_068,0.9672668927774292,1.0,0.9494280408691528,2.8284271247461903
BraTS20_Training_069,0.9490224808869829,1.0,0.9192369383705375,1.4142135623730951
BraTS20_Training_070,0.9665713388902452,1.0,0.9500004365249125,1.4142135623730951
BraTS20_Training_071,0.9699573590407562,2.23606797749979,0.9535851678396357,4.898979485566356
BraTS20_Training_072,0.9526323805655683,1.4142135623730951,0.926775534306934,2.23606797749979
BraTS20_Training_073,0.9711475704994036,1.0,0.9532269475670152,1.0
BraTS20_Training_074,0.957782862687761,1.0,0.9384888089316895,2.0
BraTS20_Training_075,0.9811853703673642,1.0,0.9684902830293973,2.0
BraTS20_Training_076,0.9686280593310342,1.0,0.9437028023334885,1.4142135623730951
BraTS20_Training_077,0.9712566711307442,1.0,0.9502399040383847,1.0
BraTS20_Training_078,0.9362313362313363,1.0,0.905598216497399,2.23606797749979
BraTS20_Training_079,0.9514914970727627,1.0,0.9299283278825412,1.0
BraTS20_Training_080,0.9589934334389494,1.0,0.922352233140053,1.4142135623730951
BraTS20_Training_081,0.9717488932063573,1.0,0.9555817735403845,1.4142135623730951
BraTS20_Training_082,0.9286039108685766,1.0,0.887823585810163,5.385164807134504
BraTS20_Training_083,0.9747169938836887,1.0,0.9608689785454054,1.0
BraTS20_Training_084,0.9681203192358008,1.0,0.9493513260502866,1.4142135623730951
BraTS20_Training_085,0.959612188365651,1.0,0.9457275791937146,1.0
BraTS20_Training_086,0.929368572053782,1.0,0.8975903614457831,2.0
BraTS20_Training_087,0.9582144466136057,1.0,0.92545604684333,2.23606797749979
BraTS20_Training_088,0.9449314526759821,1.0,0.9243374770330889,1.7320508075688772
BraTS20_Training_089,0.809741988554446,7.211102550927978,0.6879984690094012,22.693611435820433
BraTS20_Training_090,0.9321850454573567,6.0,0.9223636036252326,6.4031242374328485
BraTS20_Training_091,0.9257717207321967,4.123105625617661,0.9166871677487672,6.082762530298219
BraTS20_Training_092,0.9308510172061673,4.0,0.9395376505775237,1.4142135623730951
BraTS20_Training_093,0.9672181635507177,1.0,0.9717162131495884,1.0
BraTS20_Training_094,0.8337533449377776,3.7416573867739413,0.9250563798219584,2.0
BraTS20_Training_095,0.9634531767770605,1.0,0.9672309232774744,1.0
BraTS20_Training_096,0.9661521095823545,1.0,0.9661075281689087,1.0
BraTS20_Training_097,0.9550756790774845,1.4142135623730951,0.9609479367959289,1.4142135623730951
BraTS20_Training_098,0.9749743379182919,1.0,0.9775469168900804,1.0
BraTS20_Training_100,0.947728732949804,7.0,0.9646448051521325,1.0
BraTS20_Training_101,0.9224803945817753,4.58257569495584,0.9153989144174288,5.744562646538029
BraTS20_Training_102,0.919453207150368,2.0,0.9191089801218659,2.23606797749979
BraTS20_Training_103,0.93575414138956,4.242640687119285,0.9432219268813455,3.0
BraTS20_Training_104,0.9570501367157397,2.0,0.9655883006571789,1.4142135623730951
BraTS20_Training_105,0.8847002813243887,4.242640687119285,0.9202343961795926,3.7416573867739413
BraTS20_Training_106,0.9388116356338921,3.0,0.9480623009971703,2.8284271247461903
BraTS20_Training_107,0.9360627597849371,2.0,0.9525683123345532,2.0
BraTS20_Training_108,0.9253864291328269,1.7320508075688772,0.9288105450360916,1.4142135623730951
BraTS20_Training_109,0.9450393645753769,1.4142135623730951,0.9433680784283334,1.7320508075688772
BraTS20_Training_110,0.7152396380734126,33.52610922848042,0.7923002549002374,35.6931365951495
BraTS20_Training_111,0.937704176793082,1.4142135623730951,0.9495148016214224,1.0
BraTS20_Training_112,0.9648378270289244,1.0,0.96728877955132,1.0
BraTS20_Training_113,0.9574232163753909,5.916079783099616,0.9639320720046016,6.4031242374328485
BraTS20_Training_114,0.9545329264691407,3.1622776601683795,0.9454009445786998,32.38826948140329
BraTS20_Training_115,0.9545065712730383,4.69041575982343,0.9708167635362496,1.0
BraTS20_Training_116,0.9632394943194604,1.0,0.9676326421311228,1.0
BraTS20_Training_117,0.9519818769887517,2.23606797749979,0.9553428078729856,1.7320508075688772
BraTS20_Training_118,0.9508936546290464,4.0,0.966339121629224,1.0
BraTS20_Training_119,0.8431749257712643,4.0,0.7465087659847688,24.372115213907882
BraTS20_Training_120,0.9508487966700601,50.17967716117751,0.9731346358004151,2.0
BraTS20_Training_121,0.9736224306730227,1.0,0.9794201048957014,1.0
BraTS20_Training_122,0.9312817258883249,1.4142135623730951,0.9579582310327059,1.0
BraTS20_Training_123,0.9474661520016375,4.123105625617661,0.9556944484961638,5.0
BraTS20_Training_124,0.9696383678205376,1.4142135623730951,0.9653580189359884,2.0
BraTS20_Training_125,0.9666880476154815,2.0,0.9682371161132594,4.0
BraTS20_Training_126,0.9174190816593397,2.23606797749979,0.913891234898836,3.0
BraTS20_Training_127,0.9583328504039221,1.4142135623730951,0.9593188715562746,1.0
BraTS20_Training_128,0.8605546435783081,4.242640687119285,0.8941344385584498,4.0
BraTS20_Training_129,0.8928387272892717,5.0990195135927845,0.8906137920099064,5.477225575051661
BraTS20_Training_130,0.9830896000143461,1.0,0.9561984179628451,1.4142135623730951
BraTS20_Training_131,0.9734144525246764,1.0,0.9521518906693002,1.4142135623730951
BraTS20_Training_132,0.9741497302830591,1.0,0.9479559616215448,2.0
BraTS20_Training_133,0.9898924570698905,1.0,0.9631124611999121,1.7320508075688772
BraTS20_Training_134,0.9652888858460562,1.0,0.9348828190967031,2.449489742783178
BraTS20_Training_135,0.9819484616499727,1.0,0.9636690763943813,1.4142135623730951
BraTS20_Training_136,0.9742523141678039,1.0,0.9354244004171012,1.4142135623730951
BraTS20_Training_137,0.9804455650051038,1.0,0.9576233599716145,1.4142135623730951
BraTS20_Training_138,0.9850077423129893,1.0,0.9648311111430908,1.4142135623730951
BraTS20_Training_139,0.9583914287810964,1.0,0.9209206255532606,2.23606797749979
BraTS20_Training_140,0.9856105937496585,1.0,0.9671661452329985,1.0
BraTS20_Training_141,0.9807184241019699,1.0,0.956195069916286,1.0
BraTS20_Training_142,0.9743490689948234,1.0,0.9533666705430864,1.0
BraTS20_Training_143,0.985528224888463,1.0,0.9684658858219346,1.4142135623730951
BraTS20_Training_144,0.9771596106957906,1.0,0.9551507013742663,2.0
BraTS20_Training_145,0.9796044200498102,1.0,0.9560326638818457,1.4142135623730951
BraTS20_Training_146,0.9780885965607418,1.0,0.9513825434031227,1.4142135623730951
